CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	CMONEDA	CTIPOHORARIO	DIASEMANA	FHASTA	FDESDE	HORADESDE	HORAHASTA	MONTOMAXIMO	CODIGOREGISTRO	VERSIONCONTROL
2	04	00	000	1	001	04	6166	01	USD	N	1	31/12/2999 0:00:00,000000	6/7/2018 17:00:50,893000	0700	2359	100000000	20400000100104616601USDN1	0
2	04	00	000	1	001	04	6166	01	USD	N	2	31/12/2999 0:00:00,000000	6/7/2018 17:00:50,907000	0700	2359	100000000	20400000100104616601USDN2	0
2	04	00	000	1	001	04	6166	01	USD	N	3	31/12/2999 0:00:00,000000	6/7/2018 17:00:50,931000	0700	2359	100000000	20400000100104616601USDN3	0
2	21	00	000	1	001	21	1203	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121120301USDN6	0
2	04	00	000	1	001	04	6166	01	USD	N	4	31/12/2999 0:00:00,000000	6/7/2018 17:00:50,948000	0700	2359	100000000	20400000100104616601USDN4	0
2	04	00	000	1	001	04	6166	01	USD	N	5	31/12/2999 0:00:00,000000	6/7/2018 17:00:50,964000	0700	2359	100000000	20400000100104616601USDN5	0
2	04	00	000	1	001	04	6166	01	USD	N	6	31/12/2999 0:00:00,000000	6/7/2018 17:00:50,979000	0700	2359	100000000	20400000100104616601USDN6	0
2	21	00	000	1	001	21	1208	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121120801USDN6	0
2	04	00	000	1	001	04	6166	01	USD	N	7	31/12/2999 0:00:00,000000	6/7/2018 17:00:50,998000	0700	2359	100000000	20400000100104616601USDN7	0
2	21	00	000	1	001	21	1210	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121121001USDN6	0
2	21	00	000	1	001	21	3020	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121302001USDN6	0
2	21	00	000	1	001	21	3026	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121302601USDN6	0
2	21	00	000	1	001	21	3030	01	USD	N	6	31/12/2999 0:00:00,000000	29/6/2018 14:51:45,729000	0700	2359	10000000	22100000100121303001USDN6	1
2	21	00	000	1	001	21	3060	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121306001USDN6	0
2	21	00	000	1	001	21	3200	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121320001USDN6	0
2	21	00	000	1	001	21	3201	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121320101USDN6	0
2	21	00	000	1	001	21	3301	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330101USDN6	0
2	21	00	000	1	001	21	3302	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330201USDN6	0
2	04	04	408	1	002	04	5058	01	USD	N	4	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,173975	0700	2400	10000000	20404408100204505801USDN4	0
2	21	00	000	1	001	21	3304	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330401USDN6	0
2	21	00	000	1	001	21	3305	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330501USDN6	0
2	21	00	000	1	001	21	3311	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121331101USDN6	0
2	21	00	000	1	001	21	3312	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121331201USDN6	0
2	21	00	000	1	001	21	3313	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121331301USDN6	0
2	04	04	408	1	002	04	5058	01	USD	N	5	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,176099	0700	2400	10000000	20404408100204505801USDN5	0
2	21	00	000	1	001	21	3320	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121332001USDN6	0
2	04	04	408	1	002	04	5058	01	USD	N	6	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,178271	0700	2400	10000000	20404408100204505801USDN6	0
2	21	00	000	1	001	21	3330	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121333001USDN6	0
2	04	04	408	1	002	04	5058	01	USD	N	7	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,180516	0700	2400	10000000	20404408100204505801USDN7	0
2	04	05	510	1	002	04	5058	01	USD	N	1	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,182694	0700	2400	10000000	20405510100204505801USDN1	0
2	21	00	000	1	001	21	4000	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121400001USDN6	0
