CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	VERSIONCONTROL
2	02	01	001	1	001	02	3321	01	0
2	02	01	001	1	001	02	3323	01	0
2	02	01	001	1	001	02	3324	01	0
2	02	01	001	1	001	02	3325	01	0
2	02	01	001	1	001	02	3326	01	0
2	02	01	001	1	001	02	3327	01	0
2	02	01	001	1	001	02	3400	01	0
2	02	01	001	1	001	02	3500	01	0
2	02	01	001	1	001	02	3501	01	0
2	02	01	001	1	001	02	3510	01	0
2	02	01	001	1	001	02	4000	01	0
2	02	01	001	1	001	02	4001	01	0
2	02	01	001	1	001	02	4002	01	0
2	02	01	001	1	001	02	4003	01	0
2	02	01	001	1	001	02	4004	01	0
2	02	01	001	1	001	02	4005	01	0
2	02	01	001	1	001	02	4006	01	0
2	02	01	001	1	001	02	4007	01	0
2	02	01	001	1	001	02	4008	01	0
2	02	01	001	1	001	02	4009	01	0
2	02	01	001	1	001	02	4010	01	0
2	02	01	001	1	001	02	4011	01	0
2	02	01	001	1	001	02	4012	01	0
2	02	01	001	1	001	02	4013	01	0
2	02	01	001	1	001	02	4014	01	0
2	02	01	001	1	001	02	4015	01	0
2	02	01	001	1	001	02	4016	01	0
2	02	01	001	1	001	02	4017	01	0
2	02	01	001	1	001	02	4018	01	0
2	02	01	001	1	001	02	4019	01	0
2	02	01	001	1	001	02	4020	01	0
2	02	01	001	1	001	02	4021	01	0
2	02	01	001	1	001	02	4022	01	0
2	02	01	001	1	001	02	4023	01	0
2	02	01	001	1	001	02	4024	01	0
2	02	01	001	1	001	02	4025	01	0
2	02	01	001	1	001	02	4026	01	0
2	02	01	001	1	001	02	4027	01	0
2	02	01	001	1	001	02	4028	01	0
2	02	01	001	1	001	02	4029	01	0
2	02	01	001	1	001	02	4030	01	0
2	02	01	001	1	001	02	4031	01	0
2	02	01	001	1	001	02	4032	01	0
2	02	01	001	1	001	02	4033	01	0
2	02	01	001	1	001	02	4034	01	0
2	02	01	001	1	001	02	4035	01	0
2	02	01	001	1	001	02	4036	01	0
2	02	01	001	1	001	02	4037	01	0
2	02	01	001	1	001	02	4040	01	0
2	02	01	001	1	001	02	4041	01	0
2	02	01	001	1	001	02	4042	01	0
2	02	01	001	1	001	02	4043	01	0
2	02	01	001	1	001	02	4046	01	0
2	02	01	001	1	001	02	4050	01	0
2	02	01	001	1	001	02	4051	01	0
2	02	01	001	1	001	02	4052	01	0
2	02	01	001	1	001	02	4053	01	0
2	02	01	001	1	001	02	4054	01	0
2	02	01	001	1	001	02	4056	01	0
2	02	01	001	1	001	02	4057	01	0
2	02	01	001	1	001	02	4058	01	0
2	02	01	001	1	001	02	4059	01	0
2	02	01	001	1	001	02	4061	01	0
2	02	01	001	1	001	02	4099	01	0
2	02	01	001	1	001	02	4100	01	0
2	02	01	001	1	001	02	4101	01	0
2	02	01	001	1	001	02	4102	01	0
2	02	01	001	1	001	02	4103	01	0
2	02	01	001	1	001	02	4104	01	0
2	02	01	001	1	001	02	4105	01	0
2	02	01	001	1	001	02	4106	01	0
2	02	01	001	1	001	02	4107	01	0
2	02	01	001	1	001	02	4108	01	0
2	02	01	001	1	001	02	4120	01	0
2	02	01	001	1	001	02	4130	01	0
2	02	01	001	1	001	02	4131	01	0
2	02	01	001	1	001	02	4190	01	0
2	02	01	001	1	001	02	4191	01	0
2	02	01	001	1	001	02	4192	01	0
2	02	01	001	1	001	02	4200	01	0
2	02	01	001	1	001	02	4201	01	0
2	02	01	001	1	001	02	4202	01	0
2	02	01	001	1	001	02	4203	01	0
2	02	01	001	1	001	02	4204	01	0
2	02	01	001	1	001	02	4205	01	0
2	02	01	001	1	001	02	4206	01	0
2	02	01	001	1	001	02	4207	01	0
2	02	01	001	1	001	02	4208	01	0
2	02	01	001	1	001	02	4209	01	0
2	02	01	001	1	001	02	4210	01	0
2	02	01	001	1	001	02	4211	01	0
2	02	01	001	1	001	02	4212	01	0
2	02	01	001	1	001	02	4213	01	0
2	02	01	001	1	001	02	4214	01	0
2	02	01	001	1	001	02	4215	01	0
2	02	01	001	1	001	02	4216	01	0
2	02	01	001	1	001	02	4217	01	0
2	02	01	001	1	001	02	4219	01	0
2	02	01	001	1	001	02	4220	01	0
2	02	01	001	1	001	02	4221	01	0
2	02	01	001	1	001	02	4222	01	0
2	02	01	001	1	001	02	4223	01	0
2	02	01	001	1	001	02	4300	01	0
2	02	01	001	1	001	02	4301	01	0
2	02	01	001	1	001	02	4302	01	0
2	02	01	001	1	001	02	4303	01	0
2	02	01	001	1	001	02	4304	01	0
2	02	01	001	1	001	02	4305	01	0
2	02	01	001	1	001	02	4306	01	0
2	02	01	001	1	001	02	4307	01	0
2	02	01	001	1	001	02	4308	01	0
2	02	01	001	1	001	02	4309	01	0
2	02	01	001	1	001	02	4310	01	0
2	02	01	001	1	001	02	4311	01	0
2	02	01	001	1	001	02	4312	01	0
2	02	01	001	1	001	02	4313	01	0
2	02	01	001	1	001	02	4314	01	0
2	02	01	001	1	001	02	4315	01	0
2	02	01	001	1	001	02	4316	01	0
2	02	01	001	1	001	02	4317	01	0
2	02	01	001	1	001	02	4318	01	0
2	02	01	001	1	001	02	4319	01	0
2	02	01	001	1	001	02	4320	01	0
2	02	01	001	1	001	02	4321	01	0
2	02	01	001	1	001	02	4323	01	0
2	02	01	001	1	001	02	4324	01	0
2	02	01	001	1	001	02	4325	01	0
2	02	01	001	1	001	02	4326	01	0
2	02	01	001	1	001	02	4327	01	0
2	02	01	001	1	001	02	4400	01	0
2	02	01	001	1	001	02	4500	01	0
2	02	01	001	1	001	02	4501	01	0
2	02	01	001	1	001	02	4502	01	0
2	02	01	001	1	001	02	4503	01	0
2	02	01	001	1	001	02	4510	01	0
2	02	01	001	1	001	02	5000	01	0
2	02	01	001	1	001	02	5001	01	0
